,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
446,28177105,Juan-dong,주안동,16.569895069422333
447,28177106,Gwangyo-dong,관교동,16.48628749506181
448,28177107,Munhak-dong,문학동,15.832208608770687
449,28185101,Ongnyeon-dong,옥련동,16.575803770718018
450,28185102,Seonhak-dong,선학동,16.45394040161144
451,28185103,Yeonsu-dong,연수동,22.172890263913768
452,28185104,Cheonghak-dong,청학동,19.063092131154633
453,28185105,Dongchun-dong,동춘동,22.158409685866673
454,28185106,Songdo-dong,송도동,17.103760332406903
455,28200101,Guwol-dong,구월동,16.62585577542144
456,28200102,Ganseok-dong,간석동,17.15626278212082
457,28200103,Mansu-dong,만수동,20.87217442576001
458,28200104,Jangsu-dong,장수동,61.30200970036835
459,28200105,Seochang-dong,서창동,24.779101143685526
460,28200106,Unyeon-dong,운연동,21.700794147119808
461,28200107,Namchon-dong,남촌동,15.69585984260719
462,28200108,Susan-dong,수산동,18.928278621753705
463,28200109,Dorim-dong,도림동,47.707744189035886
464,28200110,Nonhyeon-dong,논현동,25.5968303359589
465,28200111,Gojan-dong,고잔동,16.73766688866795
466,28237101,Bupyeong-dong,부평동,18.792837114364417
467,28237102,Sipjeong-dong,십정동,17.157039607497314
468,28237103,Sangok-dong,산곡동,26.527360202422877
469,28237104,Cheongcheon-dong,청천동,26.827549012307927
470,28237107,Bugae-dong,부개동,17.619404635966365
471,28237108,Ilsin-dong,일신동,24.061438189702788
472,28237109,Gusan-dong,구산동,22.626081583142998
473,28245101,Hyoseong-dong,효성동,61.507036186733444
474,28245102,Gyesan-dong,계산동,37.501300645240704
475,28245103,Jakjeon-dong,작전동,16.40127827161936
476,28245105,Imhak-dong,임학동,18.438662042438597
477,28245107,Byeongbang-dong,병방동,15.573448262662248
478,28245108,Bangchuk-dong,방축동,28.824575075158265
479,28245109,Bakchon-dong,박촌동,19.990206869350228
480,28245110,Dongyang-dong,동양동,17.294162826795226
481,28245111,Gyulhyeon-dong,귤현동,19.39673917169763
482,28245115,Nooji-dong,노오지동,16.551776134515002
483,28245116,Seonjuji-dong,선주지동,16.745671937353283
484,28245117,Ihwa-dong,이화동,16.431157746927674
485,28245118,Oryu-dong,오류동,21.0807205359717
486,28245119,Galhyeon-dong,갈현동,18.42142784277741
487,28245120,Duksil-dong,둑실동,17.965205972318294
488,28245121,Moksang-dong,목상동,37.62684562187143
489,28245122,Danam-dong,다남동,30.42446352962409
490,28260101,Baekseok-dong,백석동,19.233728632175097
491,28260102,Sicheon-dong,시천동,16.538040298794737
492,28260103,Geomam-dong,검암동,29.28351131726338
493,28260104,Gyeongseo-dong,경서동,15.280045699175465
